stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Desktop\dev\vfxland5_starling\games\darkblue\vfxland5_01\bin\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08235] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08236] added dtor for sample_instance 14018e68, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08238] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08239] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08241] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08242] added dtor for sample_instance 14018148, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08244] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08245] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08246] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08248] added dtor for sample_instance 14019228, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08249] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08251] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08252] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08254] added dtor for sample_instance 14018328, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08255] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08257] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08258] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08260] added dtor for sample_instance 14018058, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08261] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08263] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08264] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08265] added dtor for sample_instance 14018238, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08267] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08268] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08270] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08271] added dtor for sample_instance 14017ba8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08273] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08274] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08276] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08277] added dtor for sample_instance 140195e8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08279] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08280] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08282] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08283] added dtor for sample_instance 14018418, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08285] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08286] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08287] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08289] added dtor for sample_instance 14019138, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08290] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08292] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08293] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08295] added dtor for sample_instance 14017d88, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08296] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08298] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08299] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08301] added dtor for sample_instance 140189b8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08302] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08303] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08305] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08307] added dtor for sample_instance 14019048, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08308] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08310] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08311] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08313] added dtor for sample_instance 14018508, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08314] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08315] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08317] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08318] added dtor for sample_instance 14018aa8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08320] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08322] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08323] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08325] added dtor for sample_instance 14019318, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08326] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08328] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08329] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08331] added dtor for sample_instance 14019408, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08332] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08334] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08335] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08337] added dtor for sample_instance 14018b98, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08338] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08340] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08341] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08342] added dtor for sample_instance 140185f8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08344] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08345] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08347] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08348] added dtor for sample_instance 14017c98, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08350] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08351] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08353] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08354] added dtor for sample_instance 14018c88, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08356] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08357] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08359] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08360] added dtor for sample_instance 14018d78, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08362] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08363] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08365] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08366] added dtor for sample_instance 140187d8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08368] sample matrix:
